id,cate_id,word,label,tag
0,1428,hộp,type,B-type
0,1428,bọc,type,I-type
0,1428,airpods,type,E-type
0,1428,chó,form,B-form
0,1428,snoopy,form,E-form
0,1428,gấu,form,B-form
0,1428,hồng,form,E-form
0,1428,kèm,None,O-None
0,1428,móc,attach,B-attach
0,1428,cùng,attach,I-attach
0,1428,hình,attach,E-attach
1,1428,dây,type,B-type
1,1428,cáp,type,I-type
1,1428,sạc,type,E-type
1,1428,apple,target,B-target
1,1428,watch,target,E-target
1,1428,baseus,brand,B-brand
1,1428,yoyo,name,B-name
1,1428,iw03,name,E-name
1,1428,dây,form,B-form
1,1428,rút,form,E-form
1,1428,chính,None,O-None
1,1428,hãng,None,O-None
2,1428,dây,type,B-type
2,1428,đồng,type,I-type
2,1428,hồ,type,E-type
2,1428,20mm,numunit,B-numunit
2,1428,dây,material,B-material
2,1428,thép,material,I-material
2,1428,không,material,I-material
2,1428,gỉ,material,E-material
2,1428,3,numunit,B-numunit
2,1428,mắt,numunit,E-numunit
2,1428,dành,target,B-target
2,1428,cho,target,I-target
2,1428,gear,target,I-target
2,1428,active,target,I-target
2,1428,gear,target,I-target
2,1428,sport,target,I-target
2,1428,gear,target,I-target
2,1428,s2,target,I-target
2,1428,classic,target,I-target
2,1428,galaxy,target,I-target
2,1428,watch,target,I-target
2,1428,42mm,target,E-target
3,1428,đồng,type,B-type
3,1428,hồ,type,E-type
3,1428,thông,subtype,B-subtype
3,1428,minh,subtype,E-subtype
3,1428,garmin,brand,B-brand
3,1428,vivoactive,name,B-name
3,1428,3,name,I-name
3,1428,music,name,E-name
3,1428,-,None,O-None
3,1428,chính,origin,B-origin
3,1428,hãng,origin,I-origin
3,1428,fpt,origin,E-origin
4,1428,ví,type,B-type
4,1428,đựng,subtype,B-subtype
4,1428,namecard,subtype,E-subtype
4,1428,3,numunit,B-numunit
4,1428,ngăn,numunit,E-numunit
4,1428,bằng,None,O-None
4,1428,da,material,B-material
4,1428,bò,material,I-material
4,1428,thật,material,E-material
4,1428,handmade,misc,B-misc
4,1428,olug,brand,B-brand
4,1428,mã,name,B-name
4,1428,sp,name,I-name
4,1428,877,name,E-name
5,1428,ốp,type,B-type
5,1428,silicone,material,B-material
5,1428,dẻo,material,E-material
5,1428,bảo,target,B-target
5,1428,vệ,target,I-target
5,1428,viền,target,I-target
5,1428,và,target,I-target
5,1428,màn,target,I-target
5,1428,hình,target,I-target
5,1428,cho,target,I-target
5,1428,watch,target,I-target
5,1428,active,target,E-target
6,1428,đồng,type,B-type
6,1428,hồ,type,E-type
6,1428,thông,subtype,B-subtype
6,1428,minh,subtype,E-subtype
6,1428,t8,name,B-name
6,1428,kết,misc,B-misc
6,1428,nối,misc,I-misc
6,1428,bluetooth,misc,I-misc
6,1428,hỗ,misc,I-misc
6,1428,trở,misc,I-misc
6,1428,thẻ,misc,I-misc
6,1428,sim,misc,I-misc
6,1428,và,misc,I-misc
6,1428,thẻ,misc,I-misc
6,1428,nhớ,misc,E-misc
7,1428,đồng,type,B-type
7,1428,hồ,type,E-type
7,1428,thông,subtype,B-subtype
7,1428,minh,subtype,E-subtype
7,1428,định,misc,B-misc
7,1428,vị,misc,E-misc
7,1428,trẻ,target,B-target
7,1428,em,target,E-target
7,1428,-,None,O-None
7,1428,lắp,misc,B-misc
7,1428,sim,misc,I-misc
7,1428,nghe,misc,I-misc
7,1428,gọi,misc,E-misc
8,1428,đồng,type,B-type
8,1428,hồ,type,E-type
8,1428,thể,subtype,B-subtype
8,1428,thao,subtype,E-subtype
8,1428,thông,subtype,B-subtype
8,1428,minh,subtype,E-subtype
8,1428,awei,brand,B-brand
8,1428,h3,name,B-name
8,1428,chống,misc,B-misc
8,1428,nước,misc,E-misc
8,1428,ip68,name,B-name
8,1428,thông,misc,B-misc
8,1428,báo,misc,I-misc
8,1428,cuộc,misc,I-misc
8,1428,gọi,misc,I-misc
8,1428,tin,misc,I-misc
8,1428,nhắn,misc,E-misc
9,1428,sạc,type,B-type
9,1428,đồng,target,B-target
9,1428,hồ,target,I-target
9,1428,thông,target,I-target
9,1428,minh,target,I-target
9,1428,watch,target,E-target
9,1428,bảo,numunit,B-numunit
9,1428,hành,numunit,I-numunit
9,1428,6,numunit,I-numunit
9,1428,tháng,numunit,E-numunit
9,1428,shop,None,O-None
9,1428,xả,None,O-None
9,1428,hàng,None,O-None
9,1428,bán,None,O-None
9,1428,hết,None,O-None
10,1428,đồng,type,B-type
10,1428,hồ,type,E-type
10,1428,thông,subtype,B-subtype
10,1428,minh,subtype,E-subtype
10,1428,-,None,O-None
10,1428,đồng,type,B-type
10,1428,hồ,type,E-type
10,1428,gắn,misc,B-misc
10,1428,sim,misc,I-misc
10,1428,nghe,misc,I-misc
10,1428,gọi,misc,I-misc
10,1428,trực,misc,I-misc
10,1428,tiếp,misc,E-misc
11,1428,40,None,O-None
11,1428,kính,type,B-type
11,1428,cường,type,I-type
11,1428,lực,type,E-type
11,1428,apple,target,B-target
11,1428,watch,target,E-target
11,1428,38mm,numunit,B-numunit
11,1428,40mm,numunit,I-numunit
11,1428,42mm,numunit,I-numunit
11,1428,44m,numunit,E-numunit
11,1428,full,misc,B-misc
11,1428,keo,misc,E-misc
11,1428,bảo,None,O-None
11,1428,vệ,None,O-None
11,1428,màn,None,O-None
11,1428,hình,None,O-None
